"Title","Unemployment rate (aged 16 and over, seasonally adjusted): %"
"2017 JAN","4.7"
"2017 FEB","4.6"
"2017 MAR","4.6"
"2017 APR","4.5"
"2017 MAY","4.5"
"2017 JUN","4.4"
"2017 JUL","4.4"
"2017 AUG","4.3"
"2017 SEP","4.3"
"2017 OCT","4.3"
"2017 NOV","4.4"
"2017 DEC","4.4"
"2018 JAN","4.3"
"2018 FEB","4.3"
"2018 MAR","4.3"
"2018 APR","4.2"
"2018 MAY","4.1"
"2018 JUN","4.1"
"2018 JUL","4.1"
"2018 AUG","4.2"
"2018 SEP","4.1"
"2018 OCT","4.1"
"2018 NOV","4.1"
"2018 DEC","4.0"
"2019 JAN","4.0"
"2019 FEB","3.9"
"2019 MAR","3.9"
"2019 APR","3.9"
"2019 MAY","4.0"
"2019 JUN","3.9"
"2019 JUL","4.0"
"2019 AUG","3.9"
"2019 SEP","3.9"
"2019 OCT","3.9"
"2019 NOV","3.9"
"2019 DEC","4.0"
"2020 JAN","4.1"
"2020 FEB","4.1"
"2020 MAR","4.2"
"2020 APR","4.2"
"2020 MAY","4.2"
"2020 JUN","4.4"
"2020 JUL","4.7"
"2020 AUG","5.0"
"2020 SEP","5.2"
"2020 OCT","5.2"
"2020 NOV","5.3"
"2020 DEC","5.3"
"2021 JAN","5.2"
"2021 FEB","5.1"
"2021 MAR","5.0"
"2021 APR","5.0"
"2021 MAY","4.8"
"2021 JUN","4.7"
"2021 JUL","4.6"
"2021 AUG","4.4"
"2021 SEP","4.3"
"2021 OCT","4.2"
"2021 NOV","4.2"
"2021 DEC","4.1"
